# eventID	energy_keV
    5077	569.697
    5077	73.039
    5078	1063.655
    5078	569.697
    5079	1770.215
    5079	569.697
    5080	1063.655
    5080	569.697
    5080	75.250
    5081	85.235
    5081	569.697
    5081	73.039
    5081	12.656
    5082	569.697
    5082	85.235
    5083	1063.655
    5083	569.697
    5083	12.298
    5083	0.000
    5084	1063.655
    5084	569.697
    5084	73.039
    5084	12.656
    5085	1063.655
    5085	569.697
    5085	12.298
    5085	2.442
    5086	1063.655
    5086	569.697
    5087	1063.655
    5087	569.697
    5087	73.039
    5087	10.551
    5088	1063.655
    5088	569.697
    5089	1063.655
    5089	569.697
    5089	10.551
    5089	10.551
    5090	1770.215
    5090	569.697
    5090	12.792
    5091	1063.655
    5091	569.697
    5091	75.250
    5092	569.697
    5092	75.250
    5092	12.605
    5093	1063.655
    5093	569.697
    5093	73.039
    5094	1063.655
    5094	569.697
    5095	1063.655
    5095	569.697
    5095	12.656
    5095	2.442
    5096	1063.655
    5096	569.697
    5097	1063.655
    5097	569.697
    5097	73.039
    5097	14.816
    5098	569.697
    5098	75.250
    5099	1063.655
    5099	569.697
    5099	75.250
    5099	1.855
    5100	1063.655
    5100	569.697
    5100	12.792
    5101	1063.655
    5101	569.697
    5101	75.250
    5101	12.628
    5102	1063.655
    5102	569.697
    5102	85.235
    5103	1063.655
    5103	569.697
    5104	1063.655
    5104	569.697
    5105	1063.655
    5105	569.697
    5105	75.250
    5105	10.551
    5106	1063.655
    5106	569.697
    5106	75.250
    5106	10.445
    5107	1063.655
    5107	569.697
    5107	75.250
    5107	2.401
    5108	1063.655
    5108	569.697
    5109	1063.655
    5109	569.697
    5110	1063.655
    5110	569.697
    5110	75.250
    5111	569.697
    5111	73.039
    5112	1063.655
    5112	569.697
    5112	73.039
    5112	15.222
    5113	1063.655
    5113	569.697
    5113	88.179
    5114	1063.655
    5114	569.697
    5114	85.236
    5115	1063.655
    5115	569.697
    5115	73.039
    5116	1063.655
    5116	569.697
    5116	12.298
    5117	1063.655
    5117	569.697
    5117	10.551
    5117	2.341
    5118	1063.655
    5118	569.697
    5119	1063.655
    5119	569.697
    5119	75.250
    5119	10.551
    5120	1063.655
    5120	569.697
    5120	75.250
    5121	1063.655
    5121	569.697
    5121	10.551
    5122	1063.655
    5122	569.697
    5122	85.235
    5123	1063.655
    5123	569.697
    5123	10.551
    5123	2.341
    5124	1063.655
    5124	569.697
    5124	75.250
    5125	1063.655
    5125	569.697
    5125	10.551
    5126	569.697
    5126	75.250
    5127	1063.655
    5127	569.697
    5127	75.250
    5127	10.551
    5128	1063.655
    5128	569.697
    5129	1063.655
    5129	569.697
    5129	73.039
    5129	12.656
    5130	1770.215
    5130	75.250
    5130	9.216
    5130	15.213
    5131	1063.655
    5131	569.697
    5132	1063.655
    5132	569.697
    5132	75.250
    5133	1770.215
    5133	569.697
    5134	1063.655
    5134	569.697
    5134	10.551
    5135	1063.655
    5135	569.697
    5136	1063.655
    5136	569.697
    5136	75.250
    5137	1063.655
    5137	569.697
    5137	75.250
    5137	10.551
    5138	1063.655
    5138	569.697
    5138	75.250
    5139	1063.655
    5139	569.697
    5140	1063.655
    5140	569.697
    5140	75.250
    5141	1770.215
    5141	569.697
    5142	1063.655
    5142	569.697
    5142	84.741
    5143	1063.655
    5143	569.697
    5144	1063.655
    5144	569.697
    5144	73.039
    5144	12.656
    5145	1063.655
    5145	569.697
    5145	73.039
    5145	12.627
    5146	1063.655
    5146	569.697
    5146	73.039
    5147	1770.215
    5147	569.697
    5148	569.697
    5148	73.039
    5148	12.656
    5149	1063.655
    5149	569.697
    5149	75.250
    5150	1063.655
    5150	569.697
    5151	1063.655
    5151	569.697
    5151	2.442
    5152	75.250
    5152	0.000
    5152	569.697
    5153	1063.655
    5153	569.697
    5153	75.250
    5153	10.551
    5154	1063.655
    5154	569.697
    5155	12.656
    5155	569.697
    5155	75.250
    5155	10.551
    5156	1770.215
    5156	569.697
    5157	1063.655
    5157	569.697
    5157	73.039
    5157	12.656
    5158	1063.655
    5158	569.697
    5158	75.250
    5159	1063.655
    5159	569.697
